codigo_classe;nome_da_classe;situacao
12132;Incidente de Julgamento de Recurso de Revista e de Embargos Repetitivos;A
12137;Requerimento de Apreensão de Veículo;A
12138;Requerimento de Reintegração de Posse;A
12139;Contestação em Foro Diverso;A
12153;Embargos Parciais à Ação Monitória;A
12154;Execução de Título Extrajudicial;A
12190;Suspensão Nacional do Incidente de Resolução de Demandas Repetitivas;A
12191;Tutela Provisória Antecedente;A
12192;Tutela Provisória Incidental;A
12193;Prestação de Contas Eleitorais;A
12226;Notificação;A
12227;Interpelação;A
12228;Protesto;A
12229;Protesto formado a bordo;A
12230;Guarda c/c destituição do poder familiar;A
12231;Cumprimento de sentença - Lei Arbitral (Lei 9.307/1996);A
12233;Tutela Cível;A
12246;Cumprimento de Sentença de Obrigação de Prestar Alimentos;A
12247;Execução Extrajudicial de Alimentos;A
12248;Pedido de Cooperação Judiciária;A
12357;Pedido de Efeito Suspensivo à Apelação;A
12370;Tomada de Decisão Apoiada;A
12371;Alteração de Regime de Bens;A
12372;Divórcio Consensual;A
12374;Homologação da Transação Extrajudicial;A
12375;Reclamação;A
12376;Regulação de Avaria Grossa;A
12377;Prestação de Contas Anual;A
12386;Incidente de Impedimento Infância e Juventude;A
12388;Incidente de Suspeição Infância e Juventude;A
12389;Ação de Partilha;A
12391;Incidente de Uniformização de Jurisprudência;A
12394;Revisão Criminal;A
12423;Medidas Protetivas de Urgência (Lei Maria da Penha) - Infracional;A
12424;Medidas de Proteção à Pessoa Idosa - Infracional;A
12464;Corregedoria Eleitoral;A
12465;Petição Corregedoria;A
12466;Inquérito Administrativo;A
12541;Divórcio Litigioso;A
12549;Cancelamento de Inscrição Eleitoral (CIE);A
12550;Composição de Mesa Receptora;A
12552;Direitos Políticos;A
12553;Duplicidade/Pluralidade de Inscrições - Coincidências;A
12554;Filiação Partidária;A
12555;Impugnação à Composição de Junta Eleitoral;A
12556;Impugnação Perante as Juntas Eleitorais;A
12557;Recurso/Impugnação de Alistamento Eleitoral;A
12559;Regularização de Situação do Eleitor;A
12560;Lista de Apoiamento para Criação de Partido Político;A
12561;Notícia de Irregularidade em Propaganda Eleitoral;A
12562;PET-ADM;A
12625;Direito de Resposta;A
12626;Agravo em Recurso Especial Eleitoral;A
12627;Ação Rescisória Eleitoral;A
12628;Ação de Justificação de Desfiliação Partidária/Perda de Cargo Eletivo;A
12629;Pedido de Novas Eleições;A
12630;Representação Especial;A
12631;Requerimento de Regularização de Omissão de Prestação de Contas Anual;A
12633;Requerimento de Regularização de Omissão de Prestação de Contas Eleitorais;A
12727;Execução de Pena de Multa;A
12728;Transferência Entre Estabelecimentos Penais;A
12729;Execução de Medidas Alternativas no Juízo Comum;A
12760;Recurso de Julgamento Parcial ;A
12761;Homologação do Penhor Legal;A
12762;Extinção Consensual de União Estável;A
12763;Reconhecimento e Extinção de União Estável;A
12764;Separação Contenciosa;A
12775;Ação Direta de Inconstitucionalidade por Omissão;A
12776;Arguição de Impedimento;A
12777;Exceção de Incompetência;A
12778;Exceção de Litispendência;A
12779;Proposta de Súmula Vinculante;A
12780;Admissão de Assistente;A
12781;Impugnação ao Valor da Causa;A
12782;Incidente de Falsidade;A
12783;Oposição;A
12784;Suspeição de Perito;A
12785;Embargos à Execução;A
12786;Cumprimento de Sentença;A
12788;Execução contra a Fazenda Pública;A
12789;Execução de Pena;A
12790;Extensão;A
12791;Incidente de Assunção de Competência;A
14123;Destinação de Bens Apreendidos;A
14208;Suspensão de Órgão Partidário;A
14209;Recurso Criminal Eleitoral;A
14671;Guarda de Família;A
14676;Pedido de Inclusão no Cadastro de Programa de Apadrinhamento;A
14677;Regulamentação da Convivência Familiar;A
14678;Acordo de Não Persecução Penal;A
14695;Procedimento do Juizado Especial da Fazenda Pública;A
14696;Execução de Medidas Alternativas nos Juizados Especiais;A
14701;Habeas Data Criminal;A
14734;Medidas de Proteção - Criança e Adolescente (Lei 13.431) Criminais;A
14775;Agravo de Instrumento em Mandado de Segurança;A
14991;Classificação de Crédito Público;A
15011;Registro de Federação Partidária;A
15090;Recurso;A
15140;Entrega Voluntária;A
15159;Regime Centralizado de Execuções;A
15160;Cumprimento de Sentença de Ações Coletivas;A
15161;Cumprimento Provisório de Sentença de Ações Coletivas;A
15167;Acordo de Não Persecução Cível;A
15170;Medidas Protetivas de Urgência - Crianças e Adolescentes (Lei Henry Borel - Lei 14.344/2022) Criminais;A
15171;Medidas Protetivas de Urgência - Crianças e Adolescentes (Lei Henry Borel - Lei 14.344/2022) Infracionais;A
15172;Medidas de Proteção - Criança e Adolescente (Lei 13.431) Infracionais;A
15187;Plano Especial de Pagamento Trabalhista;A
15190;Destituição do Poder Familiar;A
15191;Adoção pelo Cadastro;A
15192;Adoção Fora do Cadastro;A
15193;Adoção Fora do Cadastro c/c Destituição do Poder Familiar;A
15194;Suspensão do Poder Familiar;A
15195;Seção Administrativa;A
15196;Inspeção;A
15215;Cumprimento de Sentença contra a Fazenda Pública Mediante Execução Invertida;A
15217;Procedimento de Repactuação de Dívidas (Superendividamento);A
15224;Habeas Corpus Coletivo;A
15228;Queixa-Crime;A
15239;Proposta de Anteprojeto de Lei;A
15240;Auditoria;A
15241;Avaliação de Obras;A
15242;Pedido de Esclarecimento;A
15243;Monitoramento de Auditorias e Obras;A
15303;Representação em Propaganda Partidária;A
15309;Medidas Protetivas de Urgência (Lei Maria da Penha) - Cível;A
15321;Revisão Judicial - RDII;A
15323;Reclamação Administrativa Eleitoral;A
15423;Revisão Judicial - Conselho de Justificação;A
15430;Cumprimento de Sentença - Reclamação Pré-processual;A
15532;Incidentes de Superação e Revisão de Precedentes Qualificados;A
15533;Incidente de Superação e Revisão de Precedentes em Recurso de Revista e Embargos Repetitivos;A
15534;Incidente de Superação e Revisão de Precedentes em Incidente de Assunção de Competência;A
15535;Incidente de Superação e Revisão de Precedente em Incidente de Resolução de Demandas Repetitivas;A
15543;Arguição de Descumprimento de Preceito Fundamento Previsto em Constituição Estadual;A
15545;Procedimento Relativo à Posse de Maconha para Consumo Pessoal;A
12134;Cumprimento de Sentença de Obrigação de Prestar Alimentos;A
12135;Execução de Título Extrajudicial de Obrigação de Prestar Alimentos;A
12133;Alimentos - Lei Especial Nº 5.478/68;A
11993;Carta Precatória Cível;A
