codigo_movimento;descricao_movimento;situacao
12685;Provimento em Parte (Registro Indeferido);A
12686;Provimento em Parte (Registro Cancelado);A
12687;Provimento em Parte (Registro Cassado);A
12688;Provimento em Parte (Registro Sem Julgamento);A
12689;Não-Provimento (Registro Deferido);A
12690;Não-Provimento (Registro Indeferido);A
12691;Não-Provimento (Registro Cancelado);A
12692;Não-Provimento (Registro Cassado);A
12693;Não-Provimento (Registro Sem Julgamento);A
12694;Acolhimento (Registro Deferido);A
12695;Acolhimento (Registro Indeferido);A
12696;Acolhimento (Registro Cancelado);A
12697;Acolhimento (Registro Cassado);A
12698;Acolhimento (Registro Sem Julgamento);A
12699;Não-Acolhimento (Registro Deferido);A
12700;Não-Acolhimento (Registro Indeferido);A
12701;Não-Acolhimento (Registro Cancelado);A
12702;Não-Acolhimento (Registro Cassado);A
12703;Não-Acolhimento (Registro Sem Julgamento);A
12709;Registro de Candidatura;A
12710;Anulação de Acórdão (Registro Deferido);A
12711;Anulação de Acórdao (Registro Indeferido);A
12712;Anulação de Acórdão (Registro Cancelado);A
12713;Anulação de Acórdão (Registro Cassado);A
12714;Anulação de Acórdão (Registro Sem Julgamento);A
12715;Não Conhecimento (Registro Deferido);A
12716;Não Conhecimento (Registro Indeferido);A
12717;Não Conhecimento (Registro Cancelado);A
12718;Não Conhecimento (Registro Cassado);A
12719;Não Conhecimento (Registro Sem Julgamento);A
12720;Negação de Seguimento (Registro Deferido);A
12721;Negação de Seguimento (Registro Indeferido);A
12722;Negação de Seguimento (Registro Cancelado);A
12723;Negação de Seguimento (Registro Cassado);A
12724;Negação de Seguimento (Registro Sem Julgamento);A
12733;Homologação do Acordo de Não Persecução Penal;A
12734;Revogação do Acordo de Não Persecução Penal;A
12735;Cumprimento de ANPP;A
12736;Unificação de Processos de Execução;A
12737;Revogação da Suspensão Condicional do Processo;A
12738;Homologação de Transação Penal;A
12739;Admonitória;A
12740;de Conciliação;A
12741;de Acolhimento;A
12742;de Custódia;A
12743;de Interrogatório;A
12744;de Justificação;A
12745;do art. 16 da Lei 11.340;A
12746;em Execução;A
12747;Inicial;A
12749;de Instrução;A
12750;de Instrução e Julgamento;A
12751;de Julgamento;A
12752;de Mediação;A
12753;Preliminar;A
12765;Envio para Juízo de Retratação ;A
12766;Por Divergência de Entendimento com o STF;A
12767;Por Divergência de Entendimento com STJ;A
12768;Manutenção de Acórdão;A
12769;Desclassificação de Delito;A
12792;Procedência da Impugnação (Registro Cassado);A
14091;Devolvidos os autos após Pedido de Vista;A
14092;Voto;A
14093;Voto do Relator;A
14094;Voto Divergente Vencedor;A
14095;Outros Votos;A
14096;Audiência Pública;A
14099;Homologação de Acordo em Execução ou em Cumprimento de Sentença;A
14210;Indeferimento do Pedido de Registro de Candidatura;A
14211;Homologação da Renúncia ao Registro de Candidatura;A
14212;Sistema de Candidaturas Reaberto;A
14213;Acolhimento em Parte (Registro Deferido);A
14214;Acolhimento em Parte (Registro Indeferido);A
14215;Acolhimento em Parte (Registro Cancelado);A
14216;Acolhimento em Parte (Registro Cassado);A
14217;Acolhimento em Parte (Registro sem Julgamento);A
14218;Anulação de Sentença (Registro Sem Julgamento);A
14219;Contas Regularizadas;A
14231;Impugnação ao Cumprimento de Sentença;A
14232;Acolhimento;A
14233;Não-Acolhimento;A
14234;Acolhimento em Parte;A
14235;Rejeição;A
14680;Exequatur;A
14681;Descumprimento de Medida Protetiva da Lei Maria Penha;A
14682;Medida Cautelar Diversa da Prisão;A
14683;Medida Cautelar Diversa da Prisão;A
14702;Incidente ou Cautelar - Procedimento Resolvido;A
14732;Conversão de Autos Físicos em Eletrônicos;A
14736;Inclusão no Juízo 100% Digital;A
14737;Exclusão do Juízo 100% Digital;A
14738;Retificação de Classe Processual;A
14739;Evolução da Classe Processual;A
14776;Homologação em Parte;A
14777;Sentença Estrangeira;A
14778;Sentença Estrangeira;A
14848;Ausência de Requerimento Administrativo Prévio;A
14901;Perícia;A
14903;Determinada/Designada;A
14904;Agendada;A
14905;Realizada;A
14906;Cancelada;A
14907;Reagendada;A
14908;Não Realizada;A
14937;Acolhimento da Justificativa do Mesário Faltoso ou Dispensa de Multa;A
14961;Erro ou Recusa na Comunicação;A
14968;Por Incidente de Assunção de Competência - IAC;A
14969;Por Grupo de Representativos;A
14970;Por Controvérsia;A
14971;Por Ação de Controle Concentrado de Constitucionalidade;A
14972;Por Decisão do Presidente do TST - SIRDR;A
14973;Por Recurso de Revista Repetitivo;A
14974;Levantamento da Causa Suspensiva ou de Sobrestamento;A
14975;Suspensão/Sobrestamento por Recurso Extraordinário com Repercussão Geral;A
14976;Suspensão/Sobrestamento por Recurso Especial Repetitivo;A
14977;Suspensão/Sobrestamento Determinada por Decisão do Presidente do STF - SIRDR;A
14978;Suspensão/Sobrestamento Determinada por Decisão do Presidente do STJ - SIRDR;A
14979;Suspensão/Sobrestamento Determinada por Incidente de Assunção de Competência - IAC;A
14980;Suspensão/Sobrestamento Determinada por Grupo de Representativos;A
14981;Suspensão/Sobrestamento Determinada por Controvérsia;A
14982;Suspensão/Sobrestamento Determinada por Ação de Controle Concentrado de Constitucionalidade  - STF;A
14983;Suspensão/Sobrestamento Determinada por Decisão do Presidente do TST - SIRDR;A
14984;Suspensão/Sobrestamento Determinada por Recurso de Revista Repetitivo;A
14985;Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas;A
14997;Arquivamento Provisório - Aguardando Captura de Réu Condenado;A
14998;Arquivamento Provisório - Adolescente Aguardando Apreensão;A
14999;Iniciada Tramitação Direta entre MP e Autoridade Policial;A
15000;Finalizada Tramitação Direta entre MP e Autoridade Policial;A
15009;Por Impedimento ou Suspeição;A
15021;Destaque para Julgamento Presencial;A
15022;Rejeição de Justificativa do Mesário Faltoso ou Manutenção de Multa;A
15023;DRAP Deferido;A
15024;DRAP Indeferido;A
15025;Revogação da Transação Penal;A
15026;Cancelamento de Inscrição Eleitoral;A
15027;Manutenção da Inscrição Eleitoral;A
15028;Acolhimento de Pedido de Inclusão em Lista Especial;A
15029;Indeferimento de Pedido de Inclusão em Lista Especial;A
15030;Cancelamento de Filiação Partidária;A
15032;Manutenção da Prisão Preventiva;A
15045;Audiência de Apresentação de Adolescente;A
15049;Audiência Concentrada Protetiva;A
15050;Audiência Concentrada Infracional;A
15057;Admissão de Recurso de Embargos à SDI/TST;A
15058;Admissão de Recurso de Embargos à SDC/TST;A
15059;Não Admissão de Recurso de Embargos à SDI/TST;A
15060;Não Admissão de Recurso de Embargos à SDC/TST;A
15061;Impugnação aos Cálculos de Liquidação;A
15062;Acolhimento;A
15063;Acolhimento em Parte;A
15064;Não Acolhimento;A
15065;Não Admissão;A
15067;REsp Sobrestado por Possível Prejudicialidade de RE;A
15078;Substituição de Medida Socioeducativa;A
15079;Suspensão de Medida Socioeducativa;A
15080;Reavaliação de Medida Socioeducativa;A
15081;Busca e Apreensão de Adolescente;A
15082;Revogação de Internação de Adolescente;A
15083;Manutenção de Internação Provisória;A
15084;Desinternação de Adolescente;A
15085;Emenda à Inicial;A
15086;Deferimento em Parte;A
15092;Registro de Candidatura;A
15093;Cancelamento de Diplomação;A
15094;Pendência de Diplomação;A
15095;Diplomação;A
15096;Alteração da Declaração de Bens;A
15097;Alteração do Nome para Urna;A
15098;Alteração da Foto;A
15099;Alteração do Número do Candidato;A
15100;Alteração da Data de Nascimento do Candidato;A
15101;Conclusão;A
15102;Sessão Restaurativa;A
15103;Gratuidade da Justiça;A
15157;Registro de Falecimento;A
15158;Registro de Renúncia;A
15162;Acolhimento de Embargos de Declaração;A
15163;Acolhimento em Parte de Embargos de Declaração;A
15164;Não Acolhimento de Embargos de Declaração;A
15165;Resolução Aprovada;A
15166;Resolução Desaprovada;A
15168;De Liquidação, Cumprimento de Sentença ou Execução por Nulidade da Fase de Conhecimento ;A
15183;Pedido de Uniformização de Interpretação de Lei;A
15185;Cooperação Judiciária;A
15186;Cooperação Judiciária;A
15188;Audiência de Depoimento Especial;A
15200;Manutenção da Medida Socioeducativa;A
15201;Homologação do Plano Individual de Atendimento (PIA);A
15202;Determinação de Alteração ou Complementação do Plano Individual de Atendimento (PIA);A
15203;Manutenção de Sentença/Decisão Anterior - Infância e Juventude;A
15204;Não Localização do Adolescente;A
15205;Manutenção de Acolhimento Institucional/em Família Acolhedora;A
15206;Desacolhimento Institucional/de Família Acolhedora;A
15207;Aproximação de Pretendente à Adoção;A
15208;Aproximação de Pretendente à Adoção;A
15209;Busca Ativa para Adoção;A
15210;Busca Ativa para Adoção;A
15211;Procedência do Pedido com Aplicação de Medida Socioeducativa;A
15212;Procedência do Pedido sem Aplicação de Medida Socioeducativa;A
15213;Procedência em Parte do Pedido com Aplicação de Medida Socioeducativa;A
15214;Procedência em Parte do Pedido sem Aplicação de Medida Socioeducativa;A
15216;Determinação de Citação;A
15223;Prejudicado o Pedido;A
15225;Indicação de Recurso como Representativo de Controvérsia;A
15226;Rejeição de Recurso Como Representativo de Controvérsia;A
15227;Reconsideração de Recurso como Representativo de Controvérsia;A
15229;Indeferimento de Internação;A
15230;Provisória;A
15231;Sanção;A
15232;Manutenção da Internação;A
15233;Sanção;A
15234;Sem Reinício de Prazo;A
15235;Com Reinício de Prazo;A
15238;Homologação de Acordo ou Transação;A
15244;Homologação de Acordo Parcial em Execução ou em Cumprimento de Sentença;A
15245;Unificação de Medida Socioeducativa;A
15246;Não Confirmada;A
15247;Por Expedição de Precatório;A
15248;Por Expedição de RPV;A
15249;Morte do Adolescente/Socioeducando;A
15250;Aplicação de Pena Privativa de Liberdade ao Adolescente/Socioeducando;A
15251;Condição de Doença Grave do Adolescente/Socioeducando;A
15252;Extinção do processo de execução de medida socioeducativa em razão da perda do caráter pedagógico;A
15253;Concessão de Remissão a Adolescente com Extinção do Processo;A
15254;Justiça Restaurativa;A
15255;Sem Medida Socioeducativa;A
